"Latest: Time (s)","Latest: Position (m)"
0.032258,0.6395235
0.064516,0.6350645
0.096774,0.631463
0.129032,0.629748
0.16129,0.6299195
0.193548,0.632492
0.225806,0.637637
0.258064,0.644497
0.290322,0.652729
0.32258,0.6618185
0.354838,0.6714225
0.387096,0.6817125
0.419354,0.691488
0.451612,0.700406
0.48387,0.7081235
0.516128,0.714126
0.548386,0.718242
0.580644,0.719614
0.612902,0.718585
0.64516,0.7146405
0.677418,0.709324
0.709676,0.704522
0.741934,0.69972
0.774192,0.694575
0.80645,0.6896015
0.838708,0.684971
0.870966,0.679826
0.903224,0.675367
0.935482,0.670565
0.96774,0.6655915
0.999998,0.660961
1.032256,0.6563305
1.064514,0.652043
1.096772,0.648613
1.12903,0.6460405
1.161288,0.645183
1.193546,0.6453545
1.225804,0.646898
1.258062,0.6494705
1.29032,0.6532435
1.322578,0.6580455
1.354836,0.6642195
1.387094,0.670222
1.419352,0.676739
1.45161,0.6834275
1.483868,0.689773
1.516126,0.695604
1.548384,0.6998915
1.580642,0.702807
1.6129,0.7036645
1.645158,0.7029785
1.677416,0.7002345
1.709674,0.6950895
1.741932,0.6902875
1.77419,0.6854855
1.806448,0.680855
1.838706,0.67571
1.870964,0.670908
1.903222,0.6659345
1.93548,0.660961
1.967738,0.6563305
1.999996,0.651357
2.032254,0.646212
2.064512,0.64141
2.09677,0.637637
2.129028,0.6357505
2.161286,0.634893
2.193544,0.635922
2.225802,0.6384945
2.25806,0.642782
2.290318,0.6491275
2.322576,0.656159
2.354834,0.6645625
2.387092,0.673652
2.41935,0.682913
2.451608,0.6923455
2.483866,0.7005775
2.516124,0.7077805
2.548382,0.7136115
2.58064,0.717899
2.612898,0.719614
2.645156,0.7194425
2.677414,0.7170415
2.709672,0.712754
2.74193,0.7074375
2.774188,0.7029785
2.806446,0.6978335
2.838704,0.69286
2.870962,0.6875435
2.90322,0.6823985
2.935478,0.6775965
2.967736,0.672623
2.999994,0.667478
3.032252,0.6625045
3.06451,0.6573595
3.096768,0.6529005
3.129026,0.649299
3.161284,0.6470695
3.193542,0.6463835
3.2258,0.647241
3.258058,0.6498135
3.290316,0.6535865
3.322574,0.65856
3.354832,0.6642195
3.38709,0.670908
3.419348,0.6775965
3.451606,0.684285
3.483864,0.690459
3.516122,0.695604
3.54838,0.700063
3.580638,0.702807
3.612896,0.704179
3.645154,0.703493
3.677412,0.7005775
3.70967,0.695947
3.741928,0.690802
3.774186,0.685657
3.806444,0.6806835
3.838702,0.6755385
3.87096,0.670908
3.903218,0.665763
3.935476,0.6607895
3.967734,0.6559875
3.999992,0.6511855
4.03225,0.6474125
4.064508,0.6439825
4.096766,0.6415815
4.129024,0.6405525
4.161282,0.6408955
4.19354,0.642782
4.225798,0.6463835
4.258056,0.651014
4.290314,0.6566735
4.322572,0.6631905
4.35483,0.6707365
4.387088,0.678111
4.419346,0.6851425
4.451604,0.6913165
4.483862,0.696633
4.51612,0.7005775
4.548378,0.7019495
4.580636,0.7012635
4.612894,0.6985195
4.645152,0.693546
4.67741,0.6889155
4.709668,0.683942
4.741926,0.678797
4.774184,0.6738235
4.806442,0.66885
4.8387,0.664048
4.870958,0.659246
4.903216,0.654787
4.935474,0.649985
4.967732,0.6456975
4.99999,0.642439
5.032248,0.6398665
5.064506,0.638666
5.096764,0.639352
5.129022,0.6412385
5.16128,0.6439825
5.193538,0.647584
5.225796,0.6525575
5.258054,0.6583885
5.290312,0.6652485
5.32257,0.671937
5.354828,0.6782825
5.387086,0.6844565
5.419344,0.6892585
5.451602,0.693546
5.48386,0.6957755
5.516118,0.6964615
5.548376,0.6957755
5.580634,0.693546
5.612892,0.68943
5.64515,0.6847995
5.677408,0.679826
5.709666,0.6748525
5.741924,0.6697075
5.774182,0.664734
5.80644,0.6601035
5.838698,0.6549585
5.870956,0.649985
5.903214,0.6450115
5.935472,0.6398665
5.96773,0.6354075
5.999988,0.6306055
6.032246,0.626318
6.064504,0.623574
6.096762,0.622888
6.12902,0.623574
6.161278,0.626318
6.193536,0.630777
6.225794,0.636951
6.258052,0.6450115
6.29031,0.653758
6.322568,0.6631905
6.354826,0.6721085
6.387084,0.680169
6.419342,0.6875435
6.4516,0.692174
6.483858,0.693889
6.516116,0.692517
6.548374,0.688058
6.580632,0.683599
6.61289,0.678454
6.645148,0.673309
6.677406,0.6683355
6.709664,0.6631905
6.741922,0.6583885
6.77418,0.6532435
6.806438,0.64827
6.838696,0.643125
6.870954,0.638323
6.903212,0.633178
6.93547,0.6282045
6.967728,0.62426
6.999986,0.6213445
7.032244,0.6196295
7.064502,0.6192865
7.09676,0.621173
7.129018,0.62426
7.161276,0.6285475
7.193534,0.6340355
7.225792,0.6408955
7.25805,0.6477555
7.290308,0.6549585
7.322566,0.662333
7.354824,0.6693645
7.387082,0.6758815
7.41934,0.6803405
7.451598,0.68257
7.483856,0.6820555
7.516114,0.6793115
7.548372,0.6748525
7.58063,0.669536
7.612888,0.664391
7.645146,0.659246
7.677404,0.6539295
7.709662,0.649299
7.74192,0.644154
7.774178,0.639009
7.806436,0.633864
7.838694,0.6288905
7.870952,0.625289
7.90321,0.622888
7.935468,0.621859
7.967726,0.622545
7.999984,0.625289
8.032242,0.6285475
8.0645,0.6323205
8.096758,0.6367795
8.129016,0.6415815
8.161274,0.647241
8.193532,0.6529005
8.22579,0.6590745
8.258048,0.664734
8.290306,0.669193
8.322564,0.673652
8.354822,0.6769105
8.38708,0.6789685
8.419338,0.679826
8.451596,0.67914
8.483854,0.6769105
8.516112,0.6738235
8.54837,0.66885
8.580628,0.663705
8.612886,0.65856
8.645144,0.653415
8.677402,0.6487845
8.70966,0.6436395
8.741918,0.6384945
8.774176,0.633864
8.806434,0.6302625
8.838692,0.628376
8.87095,0.6275185
8.903208,0.6282045
8.935466,0.6306055
8.967724,0.6347215
8.999982,0.640381
9.03224,0.6467265
9.064498,0.654101
9.096756,0.6625045
9.129014,0.671594
9.161272,0.680512
9.19353,0.689087
9.225788,0.696976
9.258046,0.703493
9.290304,0.7088095
9.322562,0.711725
9.35482,0.712754
9.387078,0.711382
9.419336,0.707609
9.451594,0.702807
9.483852,0.697662
9.51611,0.692517
9.548368,0.687372
