"Latest: Time (s)","Latest: Position (m)"
0.032258,0.714469
0.064516,0.709324
0.096774,0.704865
0.129032,0.6998915
0.16129,0.694918
0.193548,0.6899445
0.225806,0.684971
0.258064,0.6799975
0.290322,0.6755385
0.32258,0.670565
0.354838,0.6655915
0.387096,0.660618
0.419354,0.6556445
0.451612,0.6504995
0.48387,0.645869
0.516128,0.6405525
0.548386,0.635579
0.580644,0.630434
0.612902,0.6251175
0.64516,0.6199725
0.677418,0.6148275
0.709676,0.6096825
0.741934,0.605052
0.774192,0.599907
0.80645,0.594762
0.838708,0.5897885
0.870966,0.5846435
0.903224,0.5798415
0.935482,0.575211
0.96774,0.570409
0.999998,0.566636
1.032256,0.564578
1.064514,0.564235
1.096772,0.565607
1.12903,0.56938
1.161288,0.5740105
1.193546,0.580356
1.225804,0.588245
1.258062,0.597163
1.29032,0.606767
1.322578,0.6174
1.354836,0.62769
1.387094,0.63798
1.419352,0.647584
1.45161,0.656159
1.483868,0.6635335
1.516126,0.6690215
1.548384,0.672623
1.580642,0.6734805
1.6129,0.6714225
1.645158,0.666449
1.677416,0.6614755
1.709674,0.656502
1.741932,0.6518715
1.77419,0.6467265
1.806448,0.6419245
1.838706,0.636951
1.870964,0.6319775
1.903222,0.627004
1.93548,0.6220305
1.967738,0.6174
1.999996,0.6124265
2.032254,0.607453
2.064512,0.6024795
2.09677,0.5976775
2.129028,0.5928755
2.161286,0.588588
2.193544,0.5843005
2.225802,0.580699
2.25806,0.577612
2.290318,0.575554
2.322576,0.574525
2.354834,0.574525
2.387092,0.57624
2.41935,0.5788125
2.451608,0.5825855
2.483866,0.5873875
2.516124,0.592704
2.548382,0.598878
2.58064,0.605395
2.612898,0.6107115
2.645156,0.616028
2.677414,0.621173
2.709672,0.625975
2.74193,0.630091
2.774188,0.633864
2.806446,0.6357505
2.838704,0.636265
2.870962,0.6350645
2.90322,0.632149
2.935478,0.627347
2.967736,0.6227165
2.999994,0.6175715
3.032252,0.612598
3.06451,0.6076245
3.096768,0.6024795
3.129026,0.5973345
3.161284,0.5928755
3.193542,0.5877305
3.2258,0.5832715
3.258058,0.579327
3.290316,0.5764115
3.322574,0.5740105
3.354832,0.57281
3.38709,0.57281
3.419348,0.574525
3.451606,0.5770975
3.483864,0.581042
3.516122,0.5856725
3.54838,0.5911605
3.580638,0.5976775
3.612896,0.605052
3.645154,0.612598
3.677412,0.619458
3.70967,0.6261465
3.741928,0.632149
3.774186,0.637294
3.806444,0.641753
3.838702,0.6443255
3.87096,0.645526
3.903218,0.645183
3.935476,0.6436395
3.967734,0.6405525
3.999992,0.6367795
4.03225,0.631806
4.064508,0.626661
4.096766,0.6216875
4.129024,0.6165425
4.161282,0.6117405
4.19354,0.606767
4.225798,0.6017935
4.258056,0.59682
4.290314,0.5918465
4.322572,0.586873
4.35483,0.582071
4.387088,0.5777835
4.419346,0.573153
4.451604,0.5688655
4.483862,0.5654355
4.51612,0.5630345
4.548378,0.5620055
4.580636,0.5623485
4.612894,0.5640635
4.645152,0.5671505
4.67741,0.5719525
4.709668,0.577955
4.741926,0.5853295
4.774184,0.5939045
4.806442,0.6028225
4.8387,0.612941
4.870958,0.622545
4.903216,0.6323205
4.935474,0.6415815
4.967732,0.6501565
4.99999,0.6580455
5.032248,0.664734
5.064506,0.6693645
5.096764,0.671937
