"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.032258,0.2900065,0.00915621275687,0.064576863014
0.064516,0.290178,0.0123313510516,0.0170661973542
0.096774,0.290864,0.0126710170087,-0.0521523661324
0.129032,0.291207,0.00753172339678,-0.086564534568
0.16129,0.291207,0.00561187233486,-0.0856997794114
0.193548,0.29155,0.00354434042201,-0.119641419306
0.225806,0.29155,-0.00147680850917,-0.162395931605
0.258064,0.29155,-0.00886085105504,-0.150950642768
0.290322,0.290864,-0.0132912765826,-0.0785909833451
0.32258,0.290521,-0.0127005531789,-0.0297577509753
0.354838,0.290178,-0.0146204042408,0.003433586651
0.387096,0.289492,-0.0137343191353,0.0597698417026
0.419354,0.289149,-0.0094515744587,0.0796083423528
0.451612,0.2889775,-0.00708868084403,0.0628219187257
0.48387,0.288806,-0.00723636169495,0.0868570252827
0.516128,0.2882915,-0.00221521276376,0.128314404847
0.548386,0.2886345,0.00383970212385,0.10173590077
0.580644,0.288806,0.0033966595711,0.0953774069722
0.612902,0.2886345,0.00841780850228,0.121447231545
0.64516,0.2893205,0.0135866382844,0.0854581566471
0.677418,0.2896635,0.0149157659426,0.0217460487897
0.709676,0.2903495,0.0138819999862,-0.0188211416425
0.741934,0.290521,0.0131435957316,-0.0433649277034
0.774192,0.291207,0.0118144680734,-0.0827875892519
0.80645,0.2913785,0.00782708509861,-0.121574401421
0.838708,0.2917215,0.00310129786926,-0.134418558893
0.870966,0.29155,-0.00103376595642,-0.133019690257
0.903224,0.2917215,-0.00635027658944,-0.104660807918
0.935482,0.2910355,-0.00871317020412,-0.0553188960439
0.96774,0.2910355,-0.00797476594953,-0.0559547454237
0.999998,0.2906925,-0.0113714255206,-0.0774464544614
1.032256,0.2903495,-0.0155064893463,-0.034208696634
1.064514,0.289492,-0.0146204042408,0.0396770013004
1.096772,0.2893205,-0.010780702117,0.0644751271132
1.12903,0.2889775,-0.010780702117,0.0942328780885
1.161288,0.288463,-0.00620259573853,0.15247668128
1.193546,0.288463,0.00103376595642,0.153875549915
1.225804,0.2886345,0.00575955318577,0.0988109936232
1.258062,0.2889775,0.00649795744036,0.0600241814545
1.29032,0.2889775,0.00841780850228,0.0544287069121
1.322578,0.289492,0.0109283829679,0.0338271870061
1.354836,0.289835,0.00989461701146,0.0314109593629
1.387094,0.2900065,0.0119621489243,0.0441279469591
1.419352,0.290521,0.0153588084954,-0.0164049139992
1.45161,0.291207,0.0128482340298,-0.125262327824
1.483868,0.29155,0.00472578722935,-0.16570234838
1.516126,0.2913785,-0.000590723403669,-0.125771007327
1.548384,0.2913785,-0.00221521276376,-0.103897788662
1.580642,0.2913785,-0.00679331914219,-0.0943600479645
1.6129,0.290864,-0.00930389360779,-0.065110976493
1.645158,0.2906925,-0.00989461701146,-0.0612958802141
1.677416,0.2903495,-0.0131435957316,-0.0536656876564
1.709674,0.289835,-0.0155064893463,0.00788453230971
1.741932,0.289149,-0.0127005531789,0.0705792811594
1.77419,0.2889775,-0.00841780850228,0.0709607907873
1.806448,0.288806,-0.0085654893532,0.0777007942134
1.838706,0.2882915,-0.00546419148394,0.132892520381
1.870964,0.2882915,0.00191985106192,0.141540071947
1.903222,0.2886345,0.0042827446766,0.129204593978
1.93548,0.288463,0.00915621275687,0.132129501126
1.967738,0.289149,0.0150634467936,0.0732498485547
1.999996,0.2896635,0.0147680850917,-0.00457811553467
2.032254,0.290178,0.012405191477,-0.024035106557
2.064512,0.2903495,0.0121098297752,-0.0147517056117
2.09677,0.290864,0.0140296808371,-0.0662555053767
2.129028,0.29155,0.00827012765137,-0.129077424102
2.161286,0.2913785,0.00280593616743,-0.124499308568
2.193544,0.29155,0.00118144680734,-0.151713662024
2.225802,0.29155,-0.00369202127293,-0.26743824915
2.25806,0.29155,-0.0155064893463,-0.403764356182
2.290318,0.2906925,-0.0323421063509,-0.477268544489
2.322576,0.2893205,-0.0466671488899,-0.541362161974
2.354834,0.287777,-0.0646842127018,-0.669549396945
2.387092,0.285376,-0.0896422765068,-0.7957019139
2.41935,0.2821175,-0.118883084988,-0.826095514255
2.451608,0.2776585,-0.146647084961,-0.722833574973
2.483866,0.2725135,-0.168651531748,-0.505245917201
2.516124,0.266511,-0.181056723225,-0.223055962439
2.548382,0.2605085,-0.18194280833,0.0324283183706
2.58064,0.2546775,-0.177512382803,0.236663139167
2.612898,0.2488465,-0.165697914729,0.397024352756
2.645156,0.243873,-0.14974838283,0.493546288612
2.677414,0.2392425,-0.133946531782,0.602658042188
2.709672,0.2351265,-0.113861936057,0.827621552767
2.74193,0.2316965,-0.0855072126811,1.26038064067
2.774188,0.2292955,-0.0412029574059,1.99885611039
2.806446,0.2282665,0.0338189148601,2.99726680657
2.838704,0.2299815,0.156689382823,3.79220570122
2.870962,0.237699,0.301711978424,3.81738533666
2.90322,0.2502185,0.424139403834,3.08310647285
2.935478,0.2659965,0.511271105876,1.89012586644
2.967736,0.284347,0.552474063281,0.436955693809
