"Latest: Time (s)","Latest: Position (m)"
9.806432,0.6971475
9.83869,0.692517
9.870948,0.687372
9.903206,0.682227
9.935464,0.6769105
9.967722,0.67228
9.99998,0.667135
10.032238,0.6625045
10.064496,0.6594175
10.096754,0.6577025
10.129012,0.65856
10.16127,0.661304
10.193528,0.666106
10.225786,0.6727945
10.258044,0.6813695
10.290302,0.690459
10.32256,0.6998915
10.354818,0.7088095
10.387076,0.7170415
10.419334,0.7239015
10.451592,0.7293895
10.48385,0.731962
10.516108,0.7321335
10.548366,0.7297325
10.580624,0.7249305
10.612882,0.7197855
10.64514,0.7146405
10.677398,0.7094955
10.709656,0.7043505
10.741914,0.6995485
10.774172,0.6944035
10.80643,0.689087
10.838688,0.683942
10.870946,0.6793115
10.903204,0.674681
10.935462,0.671251
10.96772,0.66885
10.999978,0.668164
11.032236,0.6693645
11.064494,0.671594
11.096752,0.675024
11.12901,0.6799975
11.161268,0.686
11.193526,0.6920025
11.225784,0.698005
11.258042,0.7036645
11.2903,0.7088095
11.322558,0.713097
11.354816,0.715498
11.387074,0.7156695
11.419332,0.71344
11.45159,0.709667
11.483848,0.704179
11.516106,0.6992055
11.548364,0.6940605
11.580622,0.6889155
11.61288,0.6841135
11.645138,0.6789685
11.677396,0.6738235
11.709654,0.66885
11.741912,0.66542
11.77417,0.6628475
11.806428,0.66199
11.838686,0.6625045
11.870944,0.6649055
11.903202,0.66885
11.93546,0.6745095
11.967718,0.680512
11.999976,0.686686
12.032234,0.693203
12.064492,0.69972
12.09675,0.7046935
12.129008,0.7091525
12.161266,0.7118965
12.193524,0.713783
12.225782,0.7142975
12.25804,0.7129255
12.290298,0.71001
12.322556,0.705208
12.354814,0.7002345
12.387072,0.694918
12.41933,0.689773
12.451588,0.6844565
12.483846,0.6793115
12.516104,0.674681
12.548362,0.670222
12.58062,0.6666205
12.612878,0.663705
12.645136,0.66199
12.677394,0.660275
12.709652,0.659246
12.74191,0.6587315
12.774168,0.6587315
12.806426,0.659246
12.838684,0.660618
12.870942,0.663362
12.9032,0.667821
12.935458,0.6738235
12.967716,0.680512
12.999974,0.687715
13.032232,0.694918
13.06449,0.7019495
13.096748,0.708638
13.129006,0.715498
13.161264,0.7190995
13.193522,0.7208145
13.22578,0.7208145
13.258038,0.7208145
13.290296,0.7208145
13.322554,0.720643
13.354812,0.7204715
13.38707,0.7208145
13.419328,0.7208145
13.451586,0.720643
13.483844,0.7204715
13.516102,0.7203
13.54836,0.7187565
13.580618,0.720643
13.612876,0.7204715
13.645134,0.7204715
13.677392,0.7203
13.70965,0.720643
13.741908,0.7204715
13.774166,0.7204715
13.806424,0.7204715
13.838682,0.7208145
13.87094,0.720643
13.903198,0.720643
13.935456,0.720643
13.967714,0.7204715
13.999972,0.7208145
14.03223,0.720643
14.064488,0.720643
14.096746,0.720643
14.129004,0.7208145
14.161262,0.720643
14.19352,0.720643
14.225778,0.720643
14.258036,0.720643
14.290294,0.720986
14.322552,0.720643
14.35481,0.720643
14.387068,0.720643
14.419326,0.718928
14.451584,0.7208145
14.483842,0.720643
14.5161,0.720643
14.548358,0.7204715
14.580616,0.7208145
14.612874,0.7208145
14.645132,0.720643
14.67739,0.720643
14.709648,0.7211575
14.741906,0.7211575
14.774164,0.7208145
14.806422,0.720986
14.83868,0.7208145
14.870938,0.7211575
14.903196,0.7208145
14.935454,0.7208145
14.967712,0.7208145
14.99997,0.720986
15.032228,0.7187565
15.064486,0.720643
15.096744,0.720643
15.129002,0.720643
15.16126,0.720643
15.193518,0.720986
15.225776,0.7208145
15.258034,0.720643
15.290292,0.7204715
15.32255,0.7208145
15.354808,0.720643
15.387066,0.7204715
15.419324,0.7204715
15.451582,0.7203
15.48384,0.720643
15.516098,0.7204715
15.548356,0.7204715
15.580614,0.7184135
15.612872,0.718585
15.64513,0.7184135
15.677388,0.7184135
