"Latest: Time (s)","Latest: Position (m)"
0.032258,0.66199
0.064516,0.6570165
0.096774,0.6518715
0.129032,0.6467265
0.16129,0.6415815
0.193548,0.636608
0.225806,0.631806
0.258064,0.6268325
0.290322,0.621859
0.32258,0.6168855
0.354838,0.612255
0.387096,0.609168
0.419354,0.608139
0.451612,0.608482
0.48387,0.610883
0.516128,0.6151705
0.548386,0.6213445
0.580644,0.629405
0.612902,0.6384945
0.64516,0.648613
0.677418,0.659246
0.709676,0.670222
0.741934,0.681198
0.774192,0.6906305
0.80645,0.6988625
0.838708,0.705208
0.870966,0.709324
0.903224,0.711382
0.935482,0.7101815
0.96774,0.7060655
0.999998,0.700749
1.032256,0.695604
1.064514,0.6909735
1.096772,0.6858285
1.12903,0.680855
1.161288,0.67571
1.193546,0.6707365
1.225804,0.6655915
1.258062,0.6604465
1.29032,0.655816
1.322578,0.6508425
1.354836,0.645869
1.387094,0.640724
1.419352,0.6357505
1.45161,0.63112
1.483868,0.625975
1.516126,0.62083
1.548384,0.616028
1.580642,0.6120835
1.6129,0.609854
1.645158,0.6086535
1.677416,0.609168
1.709674,0.611226
1.741932,0.614999
1.77419,0.6203155
1.806448,0.6275185
1.838706,0.635236
1.870964,0.643811
1.903222,0.652729
1.93548,0.661304
1.967738,0.669536
1.999996,0.676396
2.032254,0.6817125
2.064512,0.6851425
2.09677,0.686343
2.129028,0.685314
2.161286,0.6806835
2.193544,0.6755385
2.225802,0.670222
2.25806,0.6652485
2.290318,0.660618
2.322576,0.6556445
2.354834,0.6504995
2.387092,0.6453545
2.41935,0.6402095
2.451608,0.6354075
2.483866,0.630091
2.516124,0.624946
2.548382,0.619801
2.58064,0.614656
2.612898,0.6096825
2.645156,0.6055665
2.677414,0.6028225
2.709672,0.600593
2.74193,0.5997355
2.774188,0.6004215
2.806446,0.6024795
2.838704,0.606081
2.870962,0.6103685
2.90322,0.6155135
2.935478,0.6213445
2.967736,0.6271755
2.999994,0.633521
3.032252,0.6391805
3.06451,0.64484
3.096768,0.649985
3.129026,0.654444
3.161284,0.6580455
3.193542,0.6601035
3.2258,0.6604465
3.258058,0.6590745
3.290316,0.6559875
3.322574,0.6515285
3.354832,0.646898
3.38709,0.641753
3.419348,0.6367795
3.451606,0.6316345
3.483864,0.626661
3.516122,0.6220305
3.54838,0.617057
3.580638,0.6120835
3.612896,0.6076245
3.645154,0.604023
3.677412,0.6017935
3.70967,0.600593
3.741928,0.6007645
3.774186,0.602651
3.806444,0.6059095
3.838702,0.6110545
3.87096,0.6168855
3.903218,0.6237455
3.935476,0.6312915
3.967734,0.639009
3.999992,0.6477555
4.03225,0.6563305
4.064508,0.6642195
4.096766,0.670565
4.129024,0.67571
4.161282,0.67914
4.19354,0.6803405
4.225798,0.6793115
4.258056,0.6751955
4.290314,0.669879
4.322572,0.664734
4.35483,0.659589
4.387088,0.6549585
4.419346,0.6498135
4.451604,0.64484
4.483862,0.639695
4.51612,0.63455
4.548378,0.630091
4.580636,0.624946
4.612894,0.619801
4.645152,0.614656
4.67741,0.609854
4.709668,0.605395
4.741926,0.600593
4.774184,0.5963055
4.806442,0.5925325
4.8387,0.5897885
4.870958,0.588588
4.903216,0.5894455
4.935474,0.591675
4.967732,0.596134
4.99999,0.6028225
5.032248,0.6113975
5.064506,0.6216875
5.096764,0.632835
5.129022,0.6446685
5.16128,0.656502
5.193538,0.668164
5.225796,0.6793115
5.258054,0.689087
5.290312,0.696976
5.32257,0.7029785
5.354828,0.7067515
5.387086,0.707609
5.419344,0.705551
5.451602,0.700749
5.48386,0.6957755
5.516118,0.6906305
5.548376,0.685314
5.580634,0.6799975
5.612892,0.675367
5.64515,0.670222
5.677408,0.6652485
5.709666,0.6601035
5.741924,0.654787
5.774182,0.6501565
5.80644,0.6450115
5.838698,0.640038
5.870956,0.6350645
5.903214,0.6299195
5.935472,0.625289
5.96773,0.620144
5.999988,0.615342
6.032246,0.611226
6.064504,0.608139
6.096762,0.606767
6.12902,0.6065955
6.161278,0.608139
6.193536,0.6113975
6.225794,0.616028
6.258052,0.6227165
6.29031,0.6306055
6.322568,0.639352
6.354826,0.648956
6.387084,0.658903
6.419342,0.6686785
6.4516,0.678111
6.483858,0.6865145
6.516116,0.6933745
6.548374,0.698691
6.580632,0.702464
6.61289,0.704179
6.645148,0.7033215
6.677406,0.6998915
6.709664,0.6947465
6.741922,0.6896015
6.77418,0.6844565
6.806438,0.679826
6.838696,0.6745095
6.870954,0.669536
6.903212,0.6645625
6.93547,0.6594175
6.967728,0.6542725
6.999986,0.6494705
7.032244,0.6443255
7.064502,0.6391805
7.09676,0.6343785
7.129018,0.6299195
7.161276,0.6261465
