"Latest: Time (s)","Latest: Position (m)"
0.032258,0.737107
0.064516,0.736764
0.096774,0.73745
0.129032,0.73745
0.16129,0.7376215
0.193548,0.73745
0.225806,0.737793
0.258064,0.7376215
0.290322,0.737793
0.32258,0.73745
0.354838,0.7379645
0.387096,0.7376215
0.419354,0.73745
0.451612,0.7376215
0.48387,0.7372785
0.516128,0.7376215
0.548386,0.73745
0.580644,0.7369355
0.612902,0.73745
0.64516,0.7372785
0.677418,0.7376215
0.709676,0.73745
0.741934,0.7376215
0.774192,0.73745
0.80645,0.7376215
0.838708,0.73745
0.870966,0.7372785
0.903224,0.73745
0.935482,0.7372785
0.96774,0.7376215
0.999998,0.73745
1.032256,0.73745
1.064514,0.7372785
1.096772,0.73745
1.12903,0.73745
1.161288,0.7376215
1.193546,0.73745
1.225804,0.73745
1.258062,0.737793
1.29032,0.73745
1.322578,0.737793
1.354836,0.7376215
1.387094,0.737793
1.419352,0.7376215
1.45161,0.737793
1.483868,0.737793
1.516126,0.7379645
1.548384,0.737793
1.580642,0.7376215
1.6129,0.737793
1.645158,0.7369355
1.677416,0.7379645
1.709674,0.7376215
1.741932,0.73745
1.77419,0.7376215
1.806448,0.73745
1.838706,0.7376215
1.870964,0.73745
1.903222,0.737793
1.93548,0.7376215
1.967738,0.737793
1.999996,0.7376215
2.032254,0.737793
2.064512,0.737793
2.09677,0.73745
2.129028,0.737793
2.161286,0.73745
2.193544,0.737793
2.225802,0.73745
2.25806,0.737793
2.290318,0.7376215
2.322576,0.737793
2.354834,0.7376215
2.387092,0.737793
2.41935,0.7376215
2.451608,0.73745
2.483866,0.7376215
2.516124,0.73745
2.548382,0.737793
2.58064,0.73745
2.612898,0.737793
2.645156,0.7376215
2.677414,0.7379645
2.709672,0.7376215
2.74193,0.7379645
2.774188,0.7376215
2.806446,0.73745
2.838704,0.7376215
2.870962,0.7376215
2.90322,0.737793
2.935478,0.7376215
2.967736,0.7372785
2.999994,0.7376215
3.032252,0.73745
3.06451,0.7376215
3.096768,0.73745
3.129026,0.7376215
3.161284,0.73745
3.193542,0.737793
3.2258,0.7376215
3.258058,0.737793
3.290316,0.7376215
3.322574,0.73745
3.354832,0.7376215
3.38709,0.73745
3.419348,0.7376215
3.451606,0.73745
3.483864,0.7376215
3.516122,0.7362495
3.54838,0.7338485
3.580638,0.7300755
3.612896,0.7263025
3.645154,0.721672
3.677412,0.717213
3.70967,0.713097
3.741928,0.707952
3.774186,0.701435
3.806444,0.6968045
3.838702,0.693203
3.87096,0.6902875
3.903218,0.6889155
3.935476,0.6885725
3.967734,0.689773
3.999992,0.69286
4.03225,0.6968045
4.064508,0.7016065
4.096766,0.7070945
4.129024,0.7153265
4.161282,0.7208145
4.19354,0.7259595
4.225798,0.7307615
4.258056,0.731276
4.290314,0.7348775
4.322572,0.734706
4.35483,0.733334
4.387088,0.7297325
4.419346,0.723044
4.451604,0.718242
4.483862,0.71344
4.51612,0.7084665
4.548378,0.7033215
4.580636,0.699377
4.612894,0.695604
4.645152,0.693203
4.67741,0.6916595
4.709668,0.691831
4.741926,0.692517
4.774184,0.694918
4.806442,0.698348
4.8387,0.702807
4.870958,0.708295
4.903216,0.713783
4.935474,0.7197855
4.967732,0.7263025
4.99999,0.730247
5.032248,0.7321335
5.064506,0.7328195
5.096764,0.7314475
5.129022,0.7283605
5.16128,0.7242445
5.193538,0.7187565
5.225796,0.7136115
5.258054,0.7084665
5.290312,0.7016065
5.32257,0.6968045
5.354828,0.6926885
5.387086,0.6899445
5.419344,0.688401
5.451602,0.6882295
5.48386,0.6892585
5.516118,0.692174
5.548376,0.695947
5.580634,0.7012635
5.612892,0.708638
5.64515,0.7153265
5.677408,0.721329
5.709666,0.7269885
5.741924,0.7321335
5.774182,0.735735
5.80644,0.738136
5.838698,0.737793
5.870956,0.736078
5.903214,0.7314475
5.935472,0.7269885
5.96773,0.721329
5.999988,0.7163555
6.032246,0.711039
6.064504,0.703836
6.096762,0.699034
6.12902,0.694232
6.161278,0.690802
6.193536,0.6885725
6.225794,0.6878865
6.258052,0.688744
6.29031,0.691831
6.322568,0.695947
6.354826,0.7012635
6.387084,0.7081235
6.419342,0.7149835
6.4516,0.7242445
6.483858,0.7300755
6.516116,0.735049
6.548374,0.7389935
6.580632,0.7400225
6.61289,0.7393365
6.645148,0.7359065
6.677406,0.728532
6.709664,0.725445
6.741922,0.720986
6.77418,0.715498
6.806438,0.710696
6.838696,0.705551
6.870954,0.7002345
6.903212,0.6940605
6.93547,0.690802
6.967728,0.689087
6.999986,0.6889155
7.032244,0.690459
7.064502,0.693203
7.09676,0.697319
7.129018,0.7022925
7.161276,0.708295
7.193534,0.7136115
7.225792,0.721329
7.25805,0.7263025
7.290308,0.729904
7.322566,0.7328195
7.354824,0.7335055
7.387082,0.7324765
7.41934,0.7290465
7.451598,0.7218435
7.483856,0.7166985
7.516114,0.711382
7.548372,0.70658
7.58063,0.7012635
7.612888,0.6968045
7.645146,0.692517
7.677404,0.68943
7.709662,0.6882295
7.74192,0.687715
7.774178,0.68943
7.806436,0.692174
7.838694,0.696633
7.870952,0.701435
7.90321,0.7074375
7.935468,0.7132685
7.967726,0.7197855
7.999984,0.7273315
8.032242,0.729218
8.0645,0.7341915
8.096758,0.735049
8.129016,0.73402
8.161274,0.73059
8.193532,0.725445
8.22579,0.7204715
8.258048,0.7136115
8.290306,0.708295
8.322564,0.703493
8.354822,0.698348
8.38708,0.693203
8.419338,0.688744
8.451596,0.684628
8.483854,0.68257
8.516112,0.681198
8.54837,0.6820555
8.580628,0.6844565
8.612886,0.689087
8.645144,0.6950895
8.677402,0.702121
8.70966,0.710353
8.741918,0.718242
8.774176,0.725445
8.806434,0.7335055
8.838692,0.7379645
8.87095,0.7403655
8.903208,0.740537
8.935466,0.7386505
8.967724,0.7335055
8.999982,0.728875
9.03224,0.724073
9.064498,0.7194425
9.096756,0.711725
9.129014,0.7067515
9.161272,0.7016065
9.19353,0.6964615
9.225788,0.6916595
9.258046,0.6868575
9.290304,0.683256
9.322562,0.680169
9.35482,0.6789685
9.387078,0.67914
9.419336,0.681541
9.451594,0.685657
9.483852,0.6916595
9.51611,0.69972
9.548368,0.708295
9.580626,0.719614
9.612884,0.7280175
9.645142,0.735049
9.6774,0.7396795
9.709658,0.7424235
9.741916,0.741909
9.774174,0.737793
9.806432,0.733334
9.83869,0.728189
9.870948,0.7232155
9.903206,0.7180705
9.935464,0.713097
9.967722,0.7077805
9.99998,0.7029785
10.032238,0.695947
10.064496,0.691145
10.096754,0.6858285
10.129012,0.6810265
10.16127,0.6775965
10.193528,0.67571
10.225786,0.6765675
10.258044,0.6793115
10.290302,0.683942
10.32256,0.690116
10.354818,0.6974905
10.387076,0.7057225
10.419334,0.7142975
10.451592,0.7249305
10.48385,0.732305
10.516108,0.7376215
10.548366,0.740194
10.580624,0.7400225
10.612882,0.7383075
10.64514,0.733677
10.677398,0.728875
10.709656,0.7232155
10.741914,0.718585
10.774172,0.7132685
10.80643,0.708295
10.838688,0.701092
10.870946,0.695947
10.903204,0.6933745
10.935462,0.6858285
10.96772,0.681198
10.999978,0.677082
11.032236,0.674338
11.064494,0.673309
11.096752,0.675024
11.12901,0.678454
11.161268,0.684285
11.193526,0.6913165
11.225784,0.700063
11.258042,0.710353
11.2903,0.722701
11.322558,0.732648
11.354816,0.7403655
11.387074,0.7465395
11.419332,0.7496265
11.45159,0.749798
11.483848,0.746368
11.516106,0.7410515
11.548364,0.736078
11.580622,0.7307615
11.61288,0.7259595
11.645138,0.7208145
11.677396,0.715498
11.709654,0.7105245
11.741912,0.705551
11.77417,0.700749
11.806428,0.6957755
11.838686,0.6913165
11.870944,0.686686
11.903202,0.6834275
11.93546,0.6817125
11.967718,0.6813695
11.999976,0.6834275
12.032234,0.684628
12.064492,0.690459
12.09675,0.696976
12.129008,0.7050365
12.161266,0.7149835
12.193524,0.720643
12.225782,0.729218
12.25804,0.73402
12.290298,0.7369355
12.322556,0.736078
12.354814,0.395136
12.387072,0.724073
12.41933,0.327222
12.451588,0.71687
12.483846,0.712068
12.516104,0.706923
12.548362,0.702121
12.58062,0.694918
12.612878,0.689773
12.645136,0.685314
12.677394,0.681198
12.709652,0.6782825
12.74191,0.6762245
12.774168,0.6765675
12.806426,0.6789685
12.838684,0.6830845
