"Latest: Time (s)","Latest: Position (m)"
0.032258,0.745682
0.064516,0.740194
0.096774,0.735392
0.129032,0.730247
0.16129,0.725102
0.193548,0.719957
0.225806,0.714812
0.258064,0.7101815
0.290322,0.705208
0.32258,0.700063
0.354838,0.6950895
0.387096,0.690116
0.419354,0.684971
0.451612,0.680512
0.48387,0.675367
0.516128,0.670222
0.548386,0.6652485
0.580644,0.660275
0.612902,0.6556445
0.64516,0.6504995
0.677418,0.645183
0.709676,0.6398665
0.741934,0.634893
0.774192,0.629748
0.80645,0.6244315
0.838708,0.619801
0.870966,0.6144845
0.903224,0.609511
0.935482,0.6045375
0.96774,0.599907
0.999998,0.5959625
1.032256,0.593733
1.064514,0.5921895
1.096772,0.5921895
1.12903,0.5935615
1.161288,0.596477
1.193546,0.6014505
1.225804,0.6076245
1.258062,0.6151705
1.29032,0.623574
1.322578,0.632492
1.354836,0.641753
1.387094,0.651014
1.419352,0.659246
1.45161,0.666792
1.483868,0.673652
1.516126,0.6789685
1.548384,0.682913
1.580642,0.6844565
1.6129,0.6837705
1.645158,0.681198
1.677416,0.676396
1.709674,0.671251
1.741932,0.666449
1.77419,0.661304
1.806448,0.656159
1.838706,0.651014
1.870964,0.6460405
1.903222,0.64141
1.93548,0.6364365
1.967738,0.631463
1.999996,0.626318
2.032254,0.621173
2.064512,0.6161995
2.09677,0.611912
2.129028,0.6076245
2.161286,0.6038515
2.193544,0.6011075
2.225802,0.5990495
2.25806,0.5983635
2.290318,0.5987065
2.322576,0.600936
2.354834,0.604023
2.387092,0.6083105
2.41935,0.6137985
2.451608,0.620487
2.483866,0.6282045
2.516124,0.6357505
2.548382,0.6436395
2.58064,0.6511855
2.612898,0.6583885
2.645156,0.6649055
2.677414,0.6707365
2.709672,0.6751955
2.74193,0.678111
2.774188,0.67914
2.806446,0.6775965
2.838704,0.674338
2.870962,0.669193
2.90322,0.664048
2.935478,0.659246
2.967736,0.654101
2.999994,0.6491275
3.032252,0.644497
3.06451,0.639352
3.096768,0.634207
3.129026,0.6292335
3.161284,0.6240885
3.193542,0.619458
3.2258,0.614313
3.258058,0.6093395
3.290316,0.605052
3.322574,0.601622
3.354832,0.5993925
3.38709,0.598878
3.419348,0.5993925
3.451606,0.601279
3.483864,0.604366
3.516122,0.6086535
3.54838,0.6144845
3.580638,0.6206585
3.612896,0.6271755
3.645154,0.633521
3.677412,0.639352
3.70967,0.6439825
3.741928,0.6474125
3.774186,0.649985
3.806444,0.651014
3.838702,0.650671
3.87096,0.648956
3.903218,0.645869
3.935476,0.641067
3.967734,0.6364365
3.999992,0.6312915
4.03225,0.6261465
4.064508,0.6210015
4.096766,0.6158565
4.129024,0.611226
4.161282,0.606081
4.19354,0.6011075
4.225798,0.596134
4.258056,0.590989
4.290314,0.58653
4.322572,0.5829285
4.35483,0.580013
4.387088,0.578641
4.419346,0.578641
4.451604,0.57967
4.483862,0.582071
4.51612,0.585501
4.548378,0.5901315
4.580636,0.596134
4.612894,0.602308
4.645152,0.608825
4.67741,0.615342
4.709668,0.621859
4.741926,0.628376
4.774184,0.6347215
4.806442,0.639695
4.8387,0.643811
4.870958,0.647241
4.903216,0.6494705
4.935474,0.651014
4.967732,0.6515285
4.99999,0.6515285
5.032248,0.6501565
5.064506,0.6474125
5.096764,0.6436395
5.129022,0.6388375
5.16128,0.633864
5.193538,0.6285475
5.225796,0.6240885
5.258054,0.618772
5.290312,0.6137985
5.32257,0.6086535
5.354828,0.60368
5.387086,0.598535
5.419344,0.5942475
5.451602,0.5901315
5.48386,0.5860155
5.516118,0.5815565
5.548376,0.577612
5.580634,0.5736675
5.612892,0.5695515
5.64515,0.5664645
5.677408,0.564921
5.709666,0.564921
5.741924,0.5661215
5.774182,0.5695515
5.80644,0.574868
5.838698,0.582071
5.870956,0.591332
5.903214,0.6017935
5.935472,0.6134555
5.96773,0.6247745
5.999988,0.635579
6.032246,0.645526
6.064504,0.654101
6.096762,0.6611325
6.12902,0.666106
6.161278,0.668164
6.193536,0.667478
6.225794,0.663705
6.258052,0.65856
6.29031,0.6539295
6.322568,0.6487845
6.354826,0.643811
6.387084,0.638666
6.419342,0.633521
6.4516,0.628376
6.483858,0.623574
6.516116,0.6186005
6.548374,0.6134555
