"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.032258,0.553602,-0.134684936037,0.199758441163
0.064516,0.549143,-0.129368425404,0.257290093048
0.096774,0.545027,-0.12068479137,0.349233913369
0.129032,0.541254,-0.108545425424,0.485254812699
0.16129,0.537824,-0.089199233954,0.625879261539
0.193548,0.535423,-0.0666040637637,0.726928444979
0.225806,0.5335365,-0.042827446766,0.842881937882
0.258064,0.5325075,-0.0135866382844,0.994214090278
0.290322,0.5325075,0.0212660425321,1.13944208863
0.32258,0.533708,0.0617305956834,1.2184145816
0.354838,0.536452,0.103524276493,1.17428663464
0.387096,0.540568,0.139706084968,1.04393751178
0.419354,0.5455415,0.171900510468,0.871876669602
0.451612,0.551887,0.19641553172,0.683665253177
0.48387,0.558404,0.21413723383,0.539581783711
0.516128,0.565607,0.232006616791,0.376550002726
0.548386,0.5736675,0.240424425293,0.168372915775
0.580644,0.581385,0.240424425293,0.0254339751926
0.612902,0.5891025,0.240572106144,-0.0787181532211
0.64516,0.5969915,0.236880084871,-0.221784263679
0.677418,0.6045375,0.227723872114,-0.406816433205
0.709676,0.611912,0.210592893408,-0.595155019507
0.741934,0.6182575,0.187997723218,-0.748013210414
0.774192,0.6240885,0.162301255158,-0.896166115911
0.80645,0.6288905,0.130697553062,-1.05245789347
0.838708,0.6326635,0.0939250211834,-1.19081871852
0.870966,0.6350645,0.0527220637775,-1.28886669288
0.903224,0.6360935,0.00959925530962,-1.3305784122
0.935482,0.6357505,-0.0350003616674,-1.28428857735
0.96774,0.633864,-0.0784185318371,-1.06835412796
0.999998,0.6302625,-0.107954702021,-0.724613953237
1.032256,0.6264895,-0.123313510516,-0.423857196585
1.064514,0.622202,-0.132617404124,-0.211101994098
1.096772,0.617743,-0.134980297738,-0.078972492973
1.12903,0.6134555,-0.135571021142,-0.0253068053166
1.161288,0.6089965,-0.135718701993,-0.00674000342604
1.193546,0.604709,-0.135866382844,0.0016532083875
1.225804,0.60025,-0.136309425397,0.0217460487897
1.258062,0.595791,-0.133798850931,0.0199656705262
1.29032,0.591675,-0.133060446676,-0.030902279859
1.322578,0.5873875,-0.1369001488,-0.0512494600131
1.354836,0.582757,-0.138672319011,-0.010427929829
1.387094,0.578298,-0.136752467949,0.0147517056117
1.419352,0.5740105,-0.136457106248,0.0133528369761
1.45161,0.5695515,-0.137047829651,0.0437464373313
1.483868,0.5650925,-0.135423340291,0.123354779684
1.516126,0.5606335,-0.128482340298,0.195205759603
1.548384,0.5568605,-0.121984382858,0.251414844779
1.580642,0.5527445,-0.114009616908,0.35849188034
1.6129,0.5493145,-0.0998322552201,0.498505913775
1.645158,0.5462275,-0.08211055311,0.652127123938
1.677416,0.5438265,-0.0575955318577,0.80231474745
1.709674,0.5424545,-0.0298315318853,0.929484623413
1.741932,0.5417685,0.00265825531651,1.02893146642
1.77419,0.5424545,0.0397261488967,1.02498920026
1.806448,0.5445125,0.0717728935458,0.930120472793
1.838706,0.5472565,0.0986508084127,0.858142322998
1.870964,0.550858,0.125233361578,0.840592880115
1.903222,0.555317,0.152258957296,0.843517787262
1.93548,0.5606335,0.180465999821,0.815667584426
1.967738,0.566979,0.207343914688,0.704266773083
1.999996,0.574182,0.228166914667,0.513257619386
2.032254,0.5818995,0.241310510399,0.287785429304
2.064512,0.58996,0.246627021032,0.0615502199661
2.09677,0.5980205,0.244116446566,-0.137724975668
2.129028,0.605738,0.23820921253,-0.351116027534
2.161286,0.613627,0.223441127438,-0.612322952762
2.193544,0.620487,0.197596978527,-0.835633254953
2.225802,0.6264895,0.166731680686,-0.97335823062
2.25806,0.6312915,0.133208127527,-1.05907072702
2.290318,0.6350645,0.0990938509655,-1.16118813742
2.322576,0.6378085,0.0604014680252,-1.32154935101
2.354834,0.6391805,0.0138819999862,-1.46754036861
2.387092,0.6388375,-0.0370678935802,-1.49030377641
2.41935,0.636951,-0.0902329999104,-1.24499308568
2.451608,0.632492,-0.125824084982,-0.741018867236
2.483866,0.628033,-0.135866382844,-0.287022410048
2.516124,0.623574,-0.137343191353,-0.0462898348505
2.548382,0.619115,-0.135127978589,0.0466713444784
2.58064,0.6148275,-0.13202668072,0.0441279469591
2.612898,0.6107115,-0.13202668072,0.0195841608983
2.645156,0.6062525,-0.130992914764,-0.00356075652696
2.677414,0.602308,-0.131583638167,-0.041330209688
2.709672,0.597849,-0.134537255186,-0.0512494600131
2.74193,0.5935615,-0.135718701993,-0.0354803953937
2.774188,0.5891025,-0.137047829651,-0.0105550997049
2.806446,0.5846435,-0.136161744546,0.0108094394568
2.838704,0.580356,-0.135866382844,0.0181852922627
2.870962,0.575897,-0.135866382844,0.0419660590678
2.90322,0.571438,-0.132174361571,0.0354803953937
2.935478,0.5674935,-0.131878999869,-0.0153875549915
2.967736,0.5630345,-0.134389574335,-0.0348445460138
2.999994,0.558747,-0.13527565944,-0.0217460487897
3.032252,0.554288,-0.135571021142,-0.00902906119337
3.06451,0.5500005,-0.135571021142,-0.0024162276433
3.096768,0.5455415,-0.135718701993,0.010173590077
3.129026,0.541254,-0.135718701993,0.0620588994699
3.161284,0.536795,-0.134537255186,0.207795577323
3.193542,0.532336,-0.125233361578,0.444713056242
3.2258,0.5283915,-0.105148765853,0.672982983596
3.258058,0.525476,-0.080338382899,0.861575909649
3.290316,0.523075,-0.04991612761,1.05118619471
3.322574,0.522046,-0.0121098297752,1.22261118751
3.354832,0.5222175,0.0295361701835,1.36758484611
3.38709,0.523761,0.0773847658806,1.46270791333
3.419348,0.527191,0.126414808385,1.47224565402
3.451606,0.531993,0.173377318977,1.43345884185
3.483864,0.5383385,0.220339829569,1.33986181315
3.516122,0.546399,0.261247425273,1.19425230517
3.54838,0.555317,0.297281552896,1.03147486394
3.580638,0.565607,0.329919020949,0.79506606452
3.612896,0.576926,0.351185063481,0.476759864985
3.645154,0.588588,0.36063663794,0.145609507978
3.677412,0.6004215,0.360341276238,-0.194315570471
3.70967,0.6120835,0.349265212419,-0.580530483771
3.741928,0.623231,0.325931637974,-1.05589148012
3.774186,0.6336925,0.282365786954,-1.56190041658
3.806444,0.6419245,0.221521276376,-1.96006929822
3.838702,0.6480985,0.15299736155,-2.24353095174
3.87096,0.652043,0.075021872266,-2.40147593768
3.903218,0.6532435,-0.00989461701146,-2.25077963467
3.935476,0.6511855,-0.0841780850228,-1.65638763442
3.967734,0.6467265,-0.123313510516,-0.861321569897
3.999992,0.6422675,-0.130549872211,-0.327208090853
4.03225,0.638323,-0.133060446676,-0.149170264505
4.064508,0.633864,-0.138376957309,-0.0815158904923
4.096766,0.6292335,-0.139558404117,-0.0125898177203
4.129024,0.6247745,-0.138229276459,0.0254339751926
4.161282,0.6203155,-0.136457106248,0.020601519906
4.19354,0.616028,-0.136309425397,-0.00406943603081
4.225798,0.611569,-0.137638553055,-0.000890189131726
4.258056,0.60711,-0.137490872204,0.0347173761379
4.290314,0.602651,-0.135866382844,0.0777007942134
4.322572,0.598192,-0.13040219136,0.0610415404622
4.35483,0.594419,-0.129811467956,-0.0150060453636
4.387088,0.58996,-0.133355808378,-0.0408215301841
4.419346,0.5856725,-0.13365117008,-0.0288675618436
4.451604,0.581385,-0.134980297738,-0.0150060453636
4.483862,0.576926,-0.134980297738,0.00979208044915
4.51612,0.5726385,-0.133798850931,0.0175494428829
4.548378,0.568351,-0.133946531782,0.0216188789137
4.580636,0.563892,-0.131731319018,0.003433586651
4.612894,0.5599475,-0.132322042422,-0.0494690817496
4.645152,0.5554885,-0.136457106248,-0.058498142943
4.67741,0.5510295,-0.137638553055,-0.0230177475493
4.709668,0.5465705,-0.137638553055,0.00877472144144
4.741926,0.5421115,-0.136309425397,0.0218732186656
4.774184,0.537824,-0.135866382844,0.0217460487897
4.806442,0.533365,-0.135866382844,0.0394226615485
4.8387,0.528906,-0.132322042422,0.0291219015955
4.870958,0.5249615,-0.132322042422,-0.0200928404021
4.903216,0.5205025,-0.135718701993,-0.00864755156548
4.935474,0.5160435,-0.134832616887,0.0667641848805
4.967732,0.511756,-0.131731319018,0.168500085651
4.99999,0.5074685,-0.125085680727,0.312965064745
5.032248,0.503524,-0.112385127548,0.487442134566
5.064506,0.500094,-0.0943680637361,0.682775064045
5.096764,0.4971785,-0.067785510571,0.862084589153
5.129022,0.495635,-0.0370678935802,0.994595599906
5.16128,0.4947775,-0.0042827446766,1.1363900116
5.193538,0.4951205,0.0360341276238,1.27131725
5.225796,0.497007,0.0798953403462,1.33185011096
5.258054,0.5002655,0.124347276472,1.30310971899
5.290312,0.5050675,0.166731680686,1.17784739117
5.32257,0.5112415,0.201732042353,1.00629522849
5.354828,0.518273,0.230382127431,0.864500816796
5.387086,0.526162,0.25593091464,0.758695479995
5.419344,0.534737,0.280888978445,0.606854648095
5.451602,0.5445125,0.298019957151,0.370954528184
5.48386,0.554288,0.30437023374,0.139378184055
5.516118,0.564235,0.305699361399,-0.0543015370362
5.548376,0.574182,0.300530531617,-0.226235209338
5.580634,0.583786,0.2897498295,-0.355566973192
5.612892,0.5928755,0.277196957172,-0.469511182055
5.64515,0.6017935,0.260361340167,-0.60481993008
5.677408,0.609854,0.237470808275,-0.728683389268
5.709666,0.617057,0.21413723383,-0.87759931402
5.741924,0.623917,0.182533531734,-1.06746393883
5.774182,0.629062,0.143545787092,-1.20938552041
5.80644,0.633178,0.102933553089,-1.30641613577
5.838698,0.6357505,0.0596630637706,-1.40192071262
5.870956,0.6371225,0.0128482340298,-1.48025735621
5.903214,0.6367795,-0.0389877446422,-1.43345884185
5.935472,0.63455,-0.0871317020412,-1.14758096069
5.96773,0.6306055,-0.117406276479,-0.719654328074
5.999988,0.6264895,-0.130697553062,-0.365486223518
6.032246,0.6220305,-0.136604787098,-0.153875549915
6.064504,0.6175715,-0.137933914757,-0.0495962516256
6.096762,0.6131125,-0.138229276459,-0.0105550997049
6.12902,0.6086535,-0.138229276459,0.0092834009453
6.161278,0.6041945,-0.137786233906,0.0264513342003
6.193536,0.5997355,-0.136752467949,0.0440007770832
6.225794,0.5952765,-0.133355808378,0.0197113307743
6.258052,0.591332,-0.135127978589,-0.0142430261078
6.29031,0.58653,-0.136309425397,0.00432377578274
6.322568,0.582414,-0.134389574335,0.0130984972242
6.354826,0.577955,-0.134832616887,0.00699434317796
6.387084,0.5736675,-0.133946531782,-0.000635849379814
6.419342,0.56938,-0.134980297738,-0.0058498142943
6.4516,0.564921,-0.134980297738,0.00763019255778
6.483858,0.5606335,-0.133946531782,0.00750302268181
6.516116,0.556346,-0.134537255186,0.00661283355007
6.548374,0.551887,-0.133503489229,0.00216188789137
6.580632,0.547771,-0.13365117008,-0.0226362379214
6.61289,0.543312,-0.13527565944,-0.0352260556417
6.645148,0.5390245,-0.136457106248,-0.020728689782
6.677406,0.5345655,-0.13852463816,0.0656196559969
6.709664,0.529935,-0.135127978589,0.253195223042
6.741922,0.5256475,-0.12390423392,0.502829689557
6.77418,0.521703,-0.103524276493,0.773701525359
6.806438,0.518616,-0.0716252126949,0.971069172853
6.838696,0.5170725,-0.0376586169839,1.072423564
6.870954,0.516215,-0.00295361701834,1.17848324055
6.903212,0.5167295,0.0369202127293,1.31887878361
6.93547,0.5184445,0.08211055311,1.45787545804
6.967728,0.5218745,0.132617404124,1.54435097369
6.999986,0.5270195,0.18356729769,1.55910267931
7.032244,0.533708,0.234517191257,1.50213057487
7.064502,0.5421115,0.284580999718,1.30005764197
7.09676,0.5524015,0.322978020956,0.949577463815
7.129018,0.5633775,0.346311595401,0.573154630965
7.161276,0.5750395,0.357978382623,0.251669184531
7.193534,0.5867015,0.360341276238,-0.0020347180154
7.225792,0.5983635,0.357830701773,-0.250906165275
7.25805,0.6100255,0.346016233699,-0.549882543664
7.290308,0.6210015,0.322830340105,-0.86373779754
7.322566,0.63112,0.289306786947,-1.15139605697
7.354824,0.6398665,0.247513106137,-1.41018675455
7.387082,0.647241,0.198630744484,-1.67520877606
7.41934,0.6529005,0.140739850924,-1.96019646809
7.451598,0.6566735,0.0707391275894,-2.16150638174
7.483856,0.6577025,-0.00590723403669,-2.09486936674
7.516114,0.656159,-0.0757602765206,-1.65130083938
7.548372,0.652043,-0.119621489243,-0.974757099256
7.58063,0.647584,-0.134537255186,-0.408596811469
7.612888,0.643125,-0.137638553055,-0.107967224693
7.645146,0.638666,-0.137047829651,0.0115724587126
7.677404,0.634207,-0.134389574335,0.0244166161849
